Generation,Cell,Fitness,X,Y
1,"(9,0)",-53.1992,40.04,-35.24
1,"(9,5)",-39.6511,39.94,0.09
1,"(9,9)",-40.1142,40.02,5.03
1,"(9,9)",-41.0993,39.82,10.69
1,"(9,9)",-41.9562,39.46,14.79
1,"(9,9)",-44.2563,39.79,19.86
1,"(9,9)",-46.6125,39.94,24.7
1,"(9,9)",-49.5214,39.51,30.16
1,"(9,9)",-52.518,39.59,35.09
1,"(9,4)",-29.7028,29.98,-0.21
1,"(5,0)",-34.6856,0.08,-34.96
1,"(4,0)",-19.7262,-0.16,-20.01
1,"(4,5)",0.0876,-0.17,0.11
1,"(4,9)",-4.9226,-0.01,5.12
1,"(4,9)",-9.7818,-0.27,9.99
1,"(4,9)",-14.7915,-0.06,15.0
1,"(4,9)",-19.7143,-0.0,19.86
1,"(5,9)",-24.9162,0.11,25.07
1,"(4,9)",-29.8142,-0.09,30.0
1,"(4,9)",-35.0547,-0.04,35.24
1,"(0,0)",-34.7778,-4.77,-34.72
1,"(0,5)",-5.0012,-5.23,0.08
1,"(0,9)",-6.923,-5.15,4.99
1,"(0,9)",-11.0679,-5.12,10.04
1,"(0,9)",-15.5906,-4.7,15.14
1,"(0,9)",-20.4397,-4.89,20.06
1,"(0,9)",-25.4211,-4.97,25.21
1,"(0,9)",-30.1983,-4.9,30.06
1,"(0,9)",-35.2175,-4.82,35.13
1,"(0,0)",-36.3186,-9.93,-35.13
1,"(0,5)",-9.4389,-9.59,0.52
1,"(0,9)",-36.242,-10.0,35.07
1,"(0,0)",-37.7496,-15.06,-34.78
1,"(0,4)",-14.7654,-14.97,-0.14
1,"(0,9)",-37.9816,-15.14,35.0
1,"(0,0)",-40.0552,-20.16,-34.98
1,"(0,4)",-19.6094,-19.78,-0.31
1,"(0,9)",-40.1541,-20.08,34.98
1,"(0,0)",-42.4489,-24.83,-34.66
1,"(0,5)",-24.7498,-24.99,0.4
1,"(0,9)",-42.7944,-25.03,34.96
1,"(0,0)",-45.8854,-30.14,-34.82
1,"(0,5)",-29.9623,-30.09,0.12
1,"(0,9)",-45.902,-30.02,35.02
1,"(0,0)",-48.597,-34.32,-34.66
1,"(0,5)",-35.0089,-35.3,0.1
1,"(0,9)",-45.9317,-34.98,30.1
1,"(0,9)",-49.1917,-35.13,34.74
1,"(0,0)",-52.9859,-39.8,-35.35
1,"(0,5)",-39.75,-40.0,0.07
