Generation,Cell,Fitness,X,Y
1,"(9,0)",528.8963,39.8,-34.84
1,"(9,0)",499.828,40.02,-29.95
1,"(9,0)",476.4546,40.34,-25.35
1,"(9,0)",444.7674,39.88,-19.69
1,"(9,0)",426.8088,39.97,-14.96
1,"(9,0)",410.5985,39.79,-10.15
1,"(9,0)",402.1497,39.89,-5.14
1,"(9,4)",398.1525,39.82,-0.1
1,"(9,9)",402.4047,39.96,4.78
1,"(9,0)",402.135,34.93,-19.93
1,"(9,0)",377.395,34.78,-14.67
1,"(9,0)",364.8862,35.12,-9.89
1,"(9,0)",352.3321,34.88,-4.98
1,"(9,5)",351.0974,35.11,0.32
1,"(9,9)",351.4501,34.79,4.97
1,"(9,0)",333.9029,29.79,-15.08
1,"(9,0)",314.1027,29.84,-9.81
1,"(9,0)",302.0472,29.81,-4.89
1,"(9,4)",299.6998,29.97,-0.29
1,"(9,9)",303.9611,29.96,5.17
1,"(9,0)",292.4886,25.03,-15.14
1,"(9,0)",270.1553,25.03,-10.17
1,"(9,0)",252.6899,24.79,-4.89
1,"(9,5)",254.0828,25.41,0.29
1,"(9,9)",253.5764,24.91,4.74
1,"(9,0)",250.6343,19.86,-15.3
1,"(9,0)",224.2312,20.14,-9.87
1,"(9,0)",206.5516,20.02,-5.08
1,"(9,5)",197.0993,19.71,0.1
1,"(9,9)",207.7288,20.19,4.89
1,"(9,0)",182.405,15.17,-10.14
1,"(9,0)",158.9636,15.03,-5.19
1,"(9,5)",151.7045,15.17,0.05
1,"(9,9)",158.0185,15.04,4.84
1,"(9,0)",143.2084,10.09,-10.16
1,"(9,0)",109.8423,9.66,-5.23
1,"(9,4)",97.8616,9.79,-0.13
1,"(9,9)",111.2843,9.98,4.93
1,"(9,0)",72.6057,4.99,-5.27
1,"(9,4)",50.2334,5.02,-0.06
1,"(9,9)",71.5471,5.12,5.0
1,"(5,0)",346.6081,0.14,-34.66
1,"(5,0)",300.6337,0.03,-30.07
1,"(4,0)",248.2391,-0.12,-24.83
1,"(5,0)",199.8531,0.01,-19.99
1,"(5,0)",149.5578,0.19,-14.96
1,"(5,0)",99.2233,0.01,-9.92
1,"(5,0)",49.3551,0.32,-4.93
1,"(4,4)",2.8309,-0.07,-0.28
1,"(5,9)",49.4599,0.12,4.95
1,"(4,9)",153.8817,-0.18,15.39
1,"(0,0)",355.7736,-5.0,-35.23
1,"(0,0)",303.8441,-5.02,-29.97
1,"(0,0)",255.4106,-4.94,-25.06
1,"(0,0)",204.5214,-4.89,-19.86
1,"(0,0)",159.0951,-4.99,-15.11
1,"(0,0)",111.08,-5.01,-9.92
1,"(0,0)",68.9653,-4.83,-4.93
1,"(0,5)",49.619,-4.96,0.06
1,"(0,9)",73.6959,-5.12,5.3
1,"(0,4)",200.8719,-20.09,-0.02
2,"(9,5)",150.8361,15.09,0.05
2,"(9,5)",106.4655,10.61,0.94
2,"(9,0)",69.2143,4.88,-4.91
2,"(9,5)",47.4041,4.74,0.24
2,"(9,9)",70.542,4.9,5.08
2,"(4,0)",148.9736,-0.0,-14.9
2,"(4,0)",45.4571,-0.4,-4.53
2,"(5,5)",1.3699,0.1,0.1
2,"(4,9)",50.0077,-0.02,5.0
2,"(0,9)",69.4151,-4.89,4.93
2,"(0,4)",101.6537,-10.16,-0.34
3,"(9,4)",49.3696,4.94,-0.05
3,"(9,9)",70.0236,4.88,5.02
3,"(4,5)",1.0938,-0.11,0.03
3,"(4,9)",49.0559,-0.0,4.91
3,"(0,0)",66.1791,-4.89,-4.47
3,"(0,4)",99.2453,-9.93,-0.07
4,"(9,4)",46.1736,4.6,-0.42
4,"(9,9)",65.5717,4.56,4.71
4,"(5,6)",13.7145,0.25,1.35
4,"(5,9)",42.81,0.42,4.26
4,"(7,9)",143.9046,2.46,14.18
4,"(0,4)",52.0548,-5.2,-0.3
5,"(9,8)",339.0816,33.72,3.6
5,"(0,3)",58.8729,-5.8,-1.05
5,"(0,9)",68.4892,-4.78,4.92
6,"(9,3)",99.9073,9.92,-1.22
6,"(5,4)",4.496,0.27,-0.37
6,"(4,9)",47.9528,-0.71,4.75
6,"(3,9)",358.9609,-1.69,35.86
6,"(0,4)",48.5814,-4.83,-0.54
7,"(9,0)",65.6907,5.16,-4.07
7,"(6,0)",83.8826,1.4,-8.27
7,"(5,4)",3.3466,0.32,-0.12
8,"(4,4)",1.5302,-0.08,-0.14
8,"(0,4)",45.5624,-4.55,-0.35
8,"(1,9)",378.638,-3.17,37.73
8,"(0,8)",117.2661,-11.28,3.22
9,"(7,0)",160.6254,2.29,-15.9
