Generation,Cell,Fitness,X,Y
1,"(9,0)",53.084,39.96,-34.97
1,"(9,0)",49.7195,39.93,-29.67
1,"(9,0)",46.9255,39.89,-24.77
1,"(9,0)",44.7751,39.89,-20.4
1,"(9,0)",42.8544,40.19,-14.95
1,"(9,0)",41.0225,39.87,-9.77
1,"(9,0)",40.3126,40.02,-5.04
1,"(9,4)",40.0054,40.02,-0.05
1,"(9,9)",40.3102,40.11,4.24
1,"(9,0)",37.9131,34.77,-15.19
1,"(9,0)",36.3586,34.92,-10.18
1,"(9,0)",35.4191,35.06,-5.23
1,"(9,5)",34.9887,35.01,0.09
1,"(9,9)",35.3874,35.07,4.86
1,"(9,0)",33.4383,29.93,-14.96
1,"(9,0)",31.6191,30.01,-10.01
1,"(9,0)",30.4561,30.06,-5.08
1,"(9,5)",29.9392,29.96,0.12
1,"(9,9)",30.5256,30.15,4.84
1,"(9,0)",29.4231,25.26,-15.12
1,"(9,0)",27.0704,25.1,-10.19
1,"(9,0)",25.3609,24.84,-5.2
1,"(9,5)",25.1843,25.21,0.3
1,"(9,9)",25.4541,25.02,4.87
1,"(9,0)",25.0357,20.26,-14.75
1,"(9,0)",22.3491,19.99,-10.05
1,"(9,0)",21.4625,20.97,-4.67
1,"(9,4)",19.7874,19.81,-0.29
1,"(9,9)",20.5276,20.02,4.64
1,"(9,0)",21.0027,14.86,-14.88
1,"(9,0)",17.9862,15.0,-9.97
1,"(9,0)",15.7167,14.91,-5.02
1,"(9,5)",14.754,14.78,0.01
1,"(9,9)",15.6214,14.82,5.01
1,"(9,0)",13.6165,9.86,-9.43
1,"(9,0)",11.168,9.99,-5.04
1,"(9,5)",10.008,10.03,0.02
1,"(9,9)",11.1237,9.9,5.12
1,"(9,0)",7.1937,5.11,-5.09
1,"(9,5)",4.9867,5.0,0.23
1,"(9,9)",7.1806,5.02,5.2
1,"(5,0)",35.169,0.38,-35.19
1,"(4,0)",29.9223,-0.0,-29.94
1,"(5,0)",24.8293,0.09,-24.85
1,"(5,0)",20.0028,0.03,-20.02
1,"(5,0)",14.8456,0.22,-14.87
1,"(5,0)",10.1473,0.08,-10.16
1,"(5,0)",4.6813,0.02,-4.71
1,"(5,5)",0.2832,0.2,0.24
1,"(4,9)",4.9187,-0.25,4.94
1,"(5,9)",19.9404,0.0,19.96
1,"(0,0)",35.2744,-5.07,-34.95
1,"(0,0)",30.508,-4.77,-30.15
1,"(0,0)",25.2648,-4.98,-24.8
1,"(0,0)",20.4764,-4.91,-19.91
1,"(0,0)",15.8487,-5.26,-14.97
1,"(0,0)",11.1199,-5.1,-9.91
1,"(0,0)",7.1339,-5.08,-5.04
1,"(0,5)",5.0212,-5.04,0.15
1,"(0,9)",6.9906,-4.79,5.11
1,"(0,4)",10.0087,-10.03,-0.07
2,"(9,4)",15.0203,15.05,-0.11
2,"(9,0)",7.0578,5.06,-4.99
2,"(9,9)",6.9696,5.1,4.82
2,"(4,0)",29.8948,-0.01,-29.94
2,"(4,0)",19.7471,-0.34,-19.8
2,"(4,0)",10.0061,-0.04,-10.04
2,"(4,0)",4.9131,-0.05,-4.94
2,"(4,4)",0.5344,-0.54,-0.16
2,"(5,9)",4.8815,0.21,4.93
2,"(0,4)",5.0657,-5.1,-0.03
3,"(9,4)",14.7084,14.74,-0.0
3,"(9,4)",9.8682,9.92,-0.09
3,"(9,0)",6.8031,4.48,-5.18
3,"(9,4)",4.4686,4.52,-0.1
3,"(5,4)",0.2435,0.2,-0.19
3,"(0,0)",6.5749,-4.78,-4.57
3,"(0,5)",4.9456,-4.99,0.09
4,"(9,1)",6.0478,4.74,-3.81
4,"(9,9)",6.9299,4.96,4.92
4,"(0,0)",6.4069,-4.51,-4.62
4,"(0,6)",30.5176,-30.55,1.35
5,"(4,3)",1.1372,-0.26,-1.15
5,"(4,9)",4.8404,-0.17,4.89
5,"(6,9)",19.6347,1.3,19.63
5,"(0,5)",4.3741,-4.43,0.23
5,"(0,3)",34.8556,-34.87,-1.36
6,"(9,8)",39.5642,39.45,3.64
6,"(5,5)",-0.0354,0.04,0.02
6,"(4,9)",4.8098,-0.02,4.86
6,"(1,9)",5.5432,-3.85,4.06
7,"(5,4)",0.1975,0.21,-0.12
7,"(0,9)",6.6278,-4.09,5.27
8,"(9,5)",4.7941,4.85,0.05
8,"(9,9)",6.8986,5.04,4.8
8,"(8,9)",15.2468,3.11,14.98
8,"(4,5)",0.483,-0.34,0.39
9,"(9,2)",39.004,38.99,-2.32
9,"(7,9)",6.7365,2.62,6.26
10,"(9,2)",26.2969,26.19,-2.92
10,"(4,5)",0.1109,-0.17,0.01
10,"(5,9)",4.53,0.43,4.57
10,"(0,2)",40.0546,-40.0,-2.78
11,"(9,0)",6.7763,4.61,-5.03
11,"(5,4)",0.0411,0.11,-0.04
11,"(6,9)",10.2579,1.59,10.18
12,"(9,3)",6.5308,6.46,-1.29
12,"(2,9)",19.933,-2.71,19.78
12,"(0,4)",4.9283,-4.97,-0.14
12,"(0,3)",30.5182,-30.55,-1.1
13,"(9,0)",6.1799,4.69,-4.08
13,"(4,9)",4.7814,-0.12,4.82
13,"(0,6)",5.2927,-5.23,1.06
14,"(9,7)",15.6334,15.56,2.01
14,"(2,0)",5.5806,-2.31,-5.13
14,"(0,3)",5.766,-5.61,-1.53
14,"(0,8)",30.1266,-29.94,3.77
15,"(8,0)",26.3367,3.98,-26.08
16,"(5,0)",4.6524,0.84,-4.62
16,"(0,6)",4.3446,-4.17,1.38
17,"(6,0)",4.7917,1.1,-4.7
17,"(4,4)",0.1595,-0.18,-0.13
18,"(4,0)",4.885,-0.1,-4.95
18,"(0,9)",6.605,-4.59,4.84
18,"(0,2)",26.1746,-26.08,-2.77
19,"(9,8)",18.6561,18.34,3.72
19,"(9,5)",4.6652,4.71,0.25
19,"(9,9)",6.8351,4.77,4.96
19,"(4,1)",3.5527,-0.49,-3.57
19,"(3,9)",11.023,-1.01,11.02
20,"(8,0)",17.279,3.4,-16.99
20,"(9,9)",6.2588,4.77,4.14
21,"(8,0)",10.1262,3.28,-9.65
21,"(9,0)",5.9332,4.14,-4.32
21,"(5,0)",4.4028,0.48,-4.43
21,"(5,4)",0.0404,0.1,-0.03
22,"(9,8)",16.4435,16.0,3.98
22,"(3,0)",4.6163,-1.38,-4.47
23,"(8,0)",9.8811,3.98,-9.1
24,"(9,6)",11.5112,11.46,1.56
24,"(0,4)",4.9075,-4.95,-0.18
25,"(4,6)",0.9802,-0.02,1.03
25,"(1,7)",3.863,-3.3,2.12
25,"(0,1)",31.2217,-31.02,-3.98
26,"(1,0)",6.4606,-3.5,-5.5
27,"(4,0)",4.7816,-0.06,-4.82
27,"(7,9)",5.0574,2.09,4.68
28,"(4,4)",0.0887,-0.08,-0.11
28,"(0,9)",6.4264,-4.19,4.95
29,"(4,0)",4.765,-0.13,-4.82
30,"(9,5)",4.1565,4.21,0.04
30,"(4,4)",0.0883,-0.02,-0.13
30,"(2,3)",2.7282,-2.31,-1.56
31,"(5,0)",4.2723,0.82,-4.25
32,"(5,8)",3.743,0.11,3.78
32,"(1,0)",5.5865,-3.27,-4.61
32,"(0,8)",16.3491,-16.05,3.41
33,"(7,0)",20.0714,2.95,-19.9
33,"(0,0)",6.3601,-4.33,-4.73
34,"(1,8)",4.6081,-3.45,3.13
34,"(0,1)",14.5047,-14.04,-3.87
35,"(3,6)",2.3089,-1.89,1.43
36,"(8,5)",3.6294,3.63,0.6
36,"(3,9)",5.4496,-1.02,5.39
41,"(1,4)",3.863,-3.91,-0.06
43,"(9,6)",9.2456,9.15,1.66
43,"(5,5)",-0.0448,0.02,0.0
43,"(0,4)",4.8885,-4.92,-0.36
43,"(0,8)",10.6359,-10.0,3.78
44,"(0,4)",4.8705,-4.91,-0.06
45,"(4,4)",-0.0024,-0.03,-0.04
45,"(0,1)",5.6681,-4.33,-3.74
46,"(5,9)",4.2503,0.79,4.23
46,"(6,9)",10.1125,1.69,10.02
46,"(0,4)",4.8572,-4.91,-0.27
46,"(0,2)",10.1782,-9.84,-2.83
47,"(0,9)",6.3755,-4.55,4.53
48,"(4,4)",-0.0198,-0.01,-0.02
49,"(9,2)",19.8197,19.68,-2.81
51,"(4,9)",4.2403,-0.06,4.3
52,"(7,1)",4.3842,2.42,-3.72
52,"(0,4)",4.8422,-4.91,-0.01
52,"(0,7)",25.6314,-25.59,2.22
53,"(0,4)",4.8418,-4.89,-0.01
54,"(7,0)",8.3759,2.56,-8.02
54,"(9,2)",5.0986,4.71,-2.06
54,"(4,5)",0.0861,-0.11,0.08
54,"(3,9)",4.5701,-1.13,4.48
54,"(6,9)",8.9693,1.59,8.88
55,"(8,0)",8.3793,3.11,-7.85
57,"(9,1)",5.6693,4.15,-3.94
57,"(9,4)",4.2089,4.2,-0.74
59,"(0,9)",6.2314,-4.29,4.61
61,"(0,4)",4.7801,-4.81,-0.43
62,"(9,8)",6.5964,5.42,3.87
62,"(5,4)",-0.0062,0.01,-0.04
64,"(4,9)",4.232,-0.5,4.26
64,"(2,9)",16.5735,-2.62,16.42
66,"(1,6)",3.8766,-3.57,1.69
67,"(8,9)",10.775,3.94,10.09
68,"(8,4)",3.2954,3.31,-0.52
68,"(3,5)",1.746,-1.81,0.1
69,"(4,5)",-0.0096,-0.02,0.03
70,"(5,6)",1.5741,0.54,1.54
70,"(0,0)",6.289,-4.1,-4.84
72,"(0,2)",6.3238,-5.99,-2.21
74,"(9,4)",4.1376,4.18,-0.13
74,"(9,9)",5.9264,4.21,4.25
74,"(6,3)",1.7825,1.41,-1.16
75,"(9,1)",5.4407,4.08,-3.68
77,"(9,5)",4.0349,4.05,0.53
77,"(9,7)",5.7645,5.18,2.66
77,"(4,0)",4.0435,-0.21,-4.08
77,"(5,9)",4.0091,0.46,4.05
78,"(3,9)",4.5409,-1.66,4.28
80,"(0,4)",4.1643,-4.21,-0.18
80,"(2,9)",12.3313,-2.47,12.14
83,"(6,5)",2.034,1.97,0.73
84,"(0,0)",6.2763,-4.14,-4.81
85,"(1,9)",5.3481,-3.58,4.06
88,"(4,9)",4.1965,-0.72,4.18
92,"(9,8)",5.5525,4.4,3.48
94,"(2,4)",2.7848,-2.81,-0.49
95,"(4,8)",3.7065,-0.67,3.7
96,"(9,1)",5.0371,4.04,-3.12
96,"(0,0)",6.1746,-4.09,-4.7
97,"(3,1)",3.891,-1.59,-3.59
97,"(3,4)",1.4305,-1.29,-0.73
99,"(8,8)",5.1233,3.77,3.56
