Generation,Filled_Cells,Coverage_%,Best_Fitness
1,13,13.0,2.8309
2,14,14.0,1.3699
3,15,15.0,1.0938
4,17,17.0,1.0938
5,19,19.0,1.0938
6,22,22.0,1.0938
7,23,23.0,1.0938
8,25,25.0,1.0938
9,26,26.0,1.0938
