Generation,Filled_Cells,Coverage_%,Best_Fitness
1,13,13.0,0.2832
2,14,14.0,0.2832
3,15,15.0,0.2435
4,17,17.0,0.2435
5,20,20.0,0.2435
6,22,22.0,-0.0354
7,22,22.0,-0.0354
8,24,24.0,-0.0354
9,26,26.0,-0.0354
10,27,27.0,-0.0354
11,27,27.0,-0.0354
12,29,29.0,-0.0354
13,29,29.0,-0.0354
14,32,32.0,-0.0354
15,33,33.0,-0.0354
16,33,33.0,-0.0354
17,34,34.0,-0.0354
18,34,34.0,-0.0354
19,36,36.0,-0.0354
20,36,36.0,-0.0354
21,36,36.0,-0.0354
22,37,37.0,-0.0354
23,37,37.0,-0.0354
24,38,38.0,-0.0354
25,41,41.0,-0.0354
26,42,42.0,-0.0354
27,42,42.0,-0.0354
28,42,42.0,-0.0354
29,42,42.0,-0.0354
30,43,43.0,-0.0354
31,43,43.0,-0.0354
32,44,44.0,-0.0354
33,45,45.0,-0.0354
34,46,46.0,-0.0354
35,47,47.0,-0.0354
36,48,48.0,-0.0354
37,48,48.0,-0.0354
38,48,48.0,-0.0354
39,48,48.0,-0.0354
40,48,48.0,-0.0354
41,49,49.0,-0.0354
42,49,49.0,-0.0354
43,49,49.0,-0.0448
44,49,49.0,-0.0448
45,49,49.0,-0.0448
46,49,49.0,-0.0448
47,49,49.0,-0.0448
48,49,49.0,-0.0448
49,49,49.0,-0.0448
50,49,49.0,-0.0448
51,49,49.0,-0.0448
52,51,51.0,-0.0448
53,51,51.0,-0.0448
54,51,51.0,-0.0448
55,51,51.0,-0.0448
56,51,51.0,-0.0448
57,51,51.0,-0.0448
58,51,51.0,-0.0448
59,51,51.0,-0.0448
60,51,51.0,-0.0448
61,51,51.0,-0.0448
62,51,51.0,-0.0448
63,51,51.0,-0.0448
64,51,51.0,-0.0448
65,51,51.0,-0.0448
66,52,52.0,-0.0448
67,52,52.0,-0.0448
68,54,54.0,-0.0448
69,54,54.0,-0.0448
70,55,55.0,-0.0448
71,55,55.0,-0.0448
72,55,55.0,-0.0448
73,55,55.0,-0.0448
74,56,56.0,-0.0448
75,56,56.0,-0.0448
76,56,56.0,-0.0448
77,56,56.0,-0.0448
78,56,56.0,-0.0448
79,56,56.0,-0.0448
80,56,56.0,-0.0448
81,56,56.0,-0.0448
82,56,56.0,-0.0448
83,57,57.0,-0.0448
84,57,57.0,-0.0448
85,57,57.0,-0.0448
86,57,57.0,-0.0448
87,57,57.0,-0.0448
88,57,57.0,-0.0448
89,57,57.0,-0.0448
90,57,57.0,-0.0448
91,57,57.0,-0.0448
92,57,57.0,-0.0448
93,57,57.0,-0.0448
94,58,58.0,-0.0448
95,59,59.0,-0.0448
96,59,59.0,-0.0448
97,61,61.0,-0.0448
98,61,61.0,-0.0448
99,62,62.0,-0.0448
