Generation,Cell,Fitness,X,Y
1,"(4,4)",-0.0486,-0.0,-0.0
1,"(5,3)",1.4612,0.38,-1.46
1,"(5,2)",2.2033,0.84,-2.1
1,"(7,4)",2.4842,2.53,-0.17
1,"(4,5)",-0.0145,-0.01,0.06
1,"(4,2)",2.3534,-0.04,-2.42
1,"(8,5)",3.0591,3.09,0.05
1,"(5,4)",-0.0133,0.05,-0.0
1,"(5,3)",0.9607,0.06,-1.02
1,"(6,5)",1.8357,1.86,0.38
1,"(3,4)",1.1879,-1.03,-0.7
1,"(1,4)",3.1585,-3.1,-0.87
1,"(5,4)",-0.0371,0.01,-0.01
1,"(6,4)",1.378,1.35,-0.45
1,"(5,5)",-0.0455,0.02,0.02
1,"(3,5)",1.1568,-1.08,0.56
1,"(5,7)",2.2314,0.2,2.27
1,"(7,4)",1.9883,2.02,-0.22
1,"(4,5)",-0.0556,-0.0,0.01
1,"(6,7)",3.3323,1.9,2.81
1,"(4,3)",0.9994,-0.3,-1.03
1,"(6,6)",1.6708,1.29,1.16
1,"(3,4)",0.962,-1.03,-0.07
1,"(5,7)",1.9962,0.21,2.03
1,"(3,6)",1.9269,-1.56,1.23
1,"(2,3)",2.4571,-2.05,-1.47
1,"(6,5)",1.4953,1.3,0.85
1,"(3,6)",1.7788,-1.13,1.44
1,"(6,4)",1.3537,1.35,-0.4
2,"(2,2)",3.1461,-2.05,-2.48
2,"(4,2)",2.034,-0.02,-2.08
2,"(6,5)",1.1735,1.22,0.16
2,"(3,3)",1.7378,-1.29,-1.25
2,"(6,4)",1.074,1.11,-0.22
2,"(7,5)",2.2524,2.27,0.41
2,"(5,6)",1.2198,0.11,1.27
2,"(3,8)",3.7152,-1.82,3.31
2,"(6,2)",2.6712,1.45,-2.32
2,"(3,2)",2.5267,-1.01,-2.37
2,"(4,5)",-0.0605,-0.01,0.0
2,"(5,5)",-0.059,0.0,0.0
2,"(2,6)",2.7905,-2.15,1.88
2,"(1,6)",3.6544,-3.35,1.61
2,"(5,5)",-0.0595,0.0,0.0
2,"(5,1)",3.1727,0.89,-3.11
2,"(2,6)",2.7003,-2.45,1.28
3,"(4,3)",0.9805,-0.28,-1.01
3,"(7,7)",3.7274,2.34,2.98
3,"(4,4)",-0.0525,-0.01,-0.0
3,"(5,7)",1.9801,0.24,2.02
3,"(1,1)",5.1165,-3.79,-3.53
3,"(7,1)",3.8421,2.08,-3.31
3,"(2,4)",2.5251,-2.39,-1.0
3,"(2,4)",2.52,-2.54,-0.38
3,"(6,4)",0.9896,1.02,-0.19
3,"(6,6)",1.4905,1.12,1.06
3,"(3,7)",2.4468,-1.38,2.1
3,"(3,5)",0.9877,-1.0,0.27
4,"(5,5)",-0.065,0.0,0.0
4,"(5,4)",-0.0433,0.01,-0.01
4,"(5,8)",3.7336,0.41,3.77
4,"(7,5)",1.9857,2.03,0.29
4,"(6,2)",2.2902,1.12,-2.06
4,"(4,7)",2.3254,-0.39,2.35
4,"(7,2)",4.0192,2.92,-2.86
4,"(5,4)",-0.0472,0.01,-0.0
4,"(6,6)",1.4831,1.02,1.13
4,"(4,2)",1.9796,-0.13,-2.04
4,"(5,6)",1.1297,0.35,1.13
4,"(6,7)",2.6562,1.48,2.28
5,"(5,6)",0.9595,0.03,1.01
5,"(1,5)",3.0551,-3.07,0.53
5,"(6,6)",1.4476,1.11,1.01
5,"(5,2)",2.1335,0.57,-2.1
5,"(2,5)",1.977,-2.02,0.18
5,"(6,7)",2.4173,1.39,2.06
5,"(2,2)",3.1302,-2.05,-2.46
5,"(1,3)",3.5387,-3.27,-1.5
5,"(8,4)",3.0738,3.12,-0.34
5,"(4,2)",1.9389,-0.11,-2.0
