Generation,Cell,Fitness,X,Y
1,"(9,0)",-52.9644,40.4,-34.84
1,"(9,4)",-39.6747,40.0,-0.11
1,"(9,9)",-40.0478,39.91,5.14
1,"(9,9)",-41.2406,40.24,10.09
1,"(9,9)",-42.871,40.32,15.03
1,"(9,9)",-44.6051,40.04,20.06
1,"(9,9)",-47.1045,40.31,24.68
1,"(9,9)",-49.9336,40.16,30.01
1,"(9,9)",-52.9052,39.96,34.96
1,"(9,5)",-34.8013,35.08,0.21
1,"(4,0)",-34.9928,-0.03,-35.18
1,"(5,0)",-24.7993,0.24,-25.04
1,"(5,4)",0.0165,0.13,-0.06
1,"(5,9)",-4.9191,0.1,5.08
1,"(4,9)",-9.7978,-0.0,10.08
1,"(4,9)",-14.5757,-0.07,14.96
1,"(5,9)",-19.8798,0.18,20.11
1,"(5,9)",-24.7425,0.02,25.02
1,"(5,9)",-29.8352,0.28,30.03
1,"(4,9)",-34.8196,-0.14,35.14
1,"(0,0)",-34.9652,-4.78,-34.91
1,"(0,5)",-4.8324,-4.98,0.04
1,"(0,9)",-6.9024,-4.94,5.05
1,"(0,9)",-10.9906,-5.03,10.01
1,"(0,9)",-15.6543,-4.91,15.11
1,"(0,9)",-20.439,-4.69,20.16
1,"(0,9)",-25.2005,-5.03,24.89
1,"(0,9)",-30.3653,-4.99,30.23
1,"(0,9)",-35.4502,-5.4,35.28
1,"(0,0)",-36.3584,-10.07,-35.12
1,"(0,5)",-9.8235,-10.07,0.24
1,"(0,9)",-36.013,-9.89,34.78
1,"(0,0)",-37.6634,-14.99,-34.85
1,"(0,4)",-14.6086,-14.92,-0.11
1,"(0,9)",-37.9813,-15.27,35.04
1,"(0,0)",-39.8864,-19.97,-34.91
1,"(0,4)",-19.7357,-19.99,-0.02
1,"(0,9)",-39.9864,-19.87,35.12
1,"(0,0)",-42.7199,-24.99,-34.93
1,"(0,5)",-24.795,-24.97,0.16
1,"(0,9)",-42.7969,-24.92,34.95
1,"(0,0)",-45.7372,-29.97,-34.89
1,"(0,4)",-29.5468,-29.92,-0.03
1,"(0,9)",-45.9754,-29.93,35.22
1,"(0,0)",-49.307,-35.16,-34.89
1,"(0,5)",-34.8892,-35.05,0.15
1,"(0,9)",-49.2234,-35.05,34.95
1,"(0,0)",-52.9821,-40.11,-35.01
1,"(0,5)",-39.6598,-39.94,0.26
2,"(9,4)",-39.7838,40.16,-0.21
2,"(9,9)",-53.0678,40.29,35.0
2,"(5,0)",-28.8107,0.28,-29.06
2,"(5,5)",0.2737,0.06,0.19
2,"(4,9)",-34.883,-0.06,35.17
2,"(0,4)",-29.6753,-30.14,-0.07
2,"(0,4)",-34.8183,-35.2,-0.8
3,"(9,3)",-40.1539,40.48,-1.38
3,"(9,5)",-34.8286,35.29,0.05
3,"(5,0)",-29.6199,0.01,-29.99
3,"(0,0)",-53.3839,-39.72,-36.48
3,"(0,4)",-39.6416,-39.99,-0.01
4,"(5,0)",-34.5253,0.25,-35.05
4,"(3,4)",-0.9032,-1.3,-0.34
4,"(5,9)",-34.5776,0.19,34.91
4,"(2,9)",-25.3294,-2.56,25.61
5,"(8,0)",-9.8529,3.91,-9.56
5,"(6,9)",-15.0694,1.18,15.34
6,"(6,0)",-11.5939,1.72,-11.88
6,"(4,5)",0.3167,-0.12,0.22
6,"(1,0)",-24.3724,-3.19,-24.69
6,"(0,7)",-18.5719,-18.72,2.98
6,"(0,9)",-49.8857,-35.02,35.99
7,"(9,5)",-39.7419,40.22,0.08
7,"(9,8)",-35.0631,35.38,3.91
7,"(9,1)",-13.1237,13.11,-3.24
7,"(5,0)",-35.3908,0.55,-35.79
7,"(4,5)",0.1956,-0.03,0.24
7,"(0,3)",-28.3808,-28.86,-1.37
7,"(0,4)",-40.1101,-40.46,-0.82
8,"(9,0)",-53.1097,40.25,-35.25
8,"(9,5)",-39.8183,40.19,0.07
8,"(0,1)",-14.0498,-14.1,-3.56
8,"(0,8)",-38.0263,-38.32,3.58
9,"(7,0)",-34.0047,2.06,-34.37
9,"(0,2)",-11.0939,-11.36,-2.06
9,"(0,5)",-39.8336,-40.31,0.29
