Generation,Cell,Fitness,X,Y
1,"(9,0)",758.4652,54.8,-52.44
1,"(9,0)",725.4967,54.96,-47.36
1,"(9,0)",693.1469,54.9,-42.32
1,"(9,0)",666.8839,55.17,-37.47
1,"(9,0)",638.7884,55.09,-32.34
1,"(9,0)",615.0469,55.07,-27.4
1,"(9,0)",590.4808,54.49,-22.77
1,"(9,0)",576.1756,54.9,-17.49
1,"(9,0)",563.586,54.97,-12.42
1,"(9,0)",553.6718,54.88,-7.39
1,"(9,2)",550.5731,54.99,-2.69
1,"(9,7)",549.2456,54.86,2.69
1,"(9,9)",556.7416,55.19,7.34
1,"(9,0)",549.5342,50.08,-22.63
1,"(9,0)",529.5717,50.0,-17.45
1,"(9,0)",514.9436,49.94,-12.55
1,"(9,0)",507.8006,50.22,-7.53
1,"(9,2)",499.1499,49.83,-2.94
1,"(9,7)",499.3927,49.88,2.49
1,"(9,9)",507.0471,50.16,7.45
1,"(9,0)",504.4416,45.17,-22.46
1,"(9,0)",480.4336,44.66,-17.71
1,"(9,0)",467.255,44.86,-13.06
1,"(9,0)",457.2021,45.15,-7.24
1,"(9,2)",450.8611,45.01,-2.59
1,"(9,7)",448.5103,44.79,2.46
1,"(9,9)",455.5761,44.97,7.3
1,"(9,0)",436.1439,39.91,-17.6
1,"(9,0)",417.3504,39.95,-12.06
1,"(9,0)",408.8359,40.19,-7.52
1,"(9,2)",401.2823,40.05,-2.45
1,"(9,7)",403.3916,40.26,2.65
1,"(9,9)",407.0874,40.1,7.03
1,"(9,0)",388.6808,34.83,-17.26
1,"(9,0)",371.0503,34.94,-12.48
1,"(9,0)",357.5438,35.02,-7.23
1,"(9,2)",349.4059,34.86,-2.45
1,"(9,7)",351.4766,35.06,2.5
1,"(9,9)",360.1307,35.28,7.24
1,"(9,0)",345.3801,29.87,-17.34
1,"(9,0)",323.2005,29.76,-12.62
1,"(9,0)",302.5212,29.39,-7.19
1,"(9,2)",299.8655,29.9,-2.32
1,"(9,7)",300.0872,29.92,2.35
1,"(9,9)",305.3713,29.61,7.47
1,"(9,0)",280.2498,25.01,-12.64
1,"(9,0)",260.1517,24.88,-7.63
1,"(9,1)",250.6876,24.84,-3.41
1,"(9,7)",248.5647,24.74,2.45
1,"(9,9)",262.5775,25.14,7.6
1,"(9,0)",233.3898,19.89,-12.21
1,"(9,0)",213.0513,19.92,-7.56
1,"(9,2)",202.0069,20.06,-2.41
1,"(9,7)",202.8454,20.15,2.35
1,"(9,9)",213.539,20.02,7.43
1,"(9,0)",193.6632,14.81,-12.49
1,"(9,0)",166.2016,14.89,-7.39
1,"(9,2)",153.8704,15.19,-2.49
1,"(9,7)",152.5032,15.03,2.59
1,"(9,9)",166.4522,14.82,7.58
1,"(9,0)",160.1741,9.98,-12.53
1,"(9,0)",126.9607,10.02,-7.8
1,"(9,2)",104.9155,10.18,-2.54
1,"(9,7)",104.6716,10.17,2.5
1,"(9,9)",123.1092,9.83,7.41
1,"(9,0)",90.9413,5.08,-7.55
1,"(9,2)",54.9757,4.91,-2.48
1,"(9,7)",56.7196,4.96,2.75
1,"(9,9)",89.8206,4.89,7.53
1,"(4,0)",524.9459,-0.03,-52.5
1,"(4,0)",477.837,-0.44,-47.78
1,"(4,0)",424.0348,-0.23,-42.41
1,"(5,0)",373.4483,0.09,-37.35
1,"(5,0)",327.0823,0.22,-32.71
1,"(4,0)",275.3419,-0.08,-27.54
1,"(5,0)",226.8513,0.08,-22.69
1,"(4,0)",175.7616,-0.06,-17.58
1,"(4,0)",121.5141,-0.05,-12.15
1,"(5,0)",74.4709,0.01,-7.45
1,"(4,2)",25.4488,-0.15,-2.54
1,"(4,7)",23.1936,-0.45,2.28
1,"(5,9)",74.9951,0.02,7.5
1,"(4,9)",175.1111,-0.03,17.51
1,"(0,0)",529.8399,-5.24,-52.73
1,"(0,0)",478.0664,-4.94,-47.55
1,"(0,0)",427.6178,-5.3,-42.44
1,"(0,0)",377.8031,-4.57,-37.51
1,"(0,0)",328.7473,-4.9,-32.51
1,"(0,0)",282.2836,-5.09,-27.77
1,"(0,0)",228.3494,-4.97,-22.29
1,"(0,0)",181.8572,-5.25,-17.41
1,"(0,0)",135.5653,-4.93,-12.63
1,"(0,0)",90.4913,-4.96,-7.57
1,"(0,2)",55.1248,-4.91,-2.52
1,"(0,7)",55.6113,-4.98,2.48
1,"(0,9)",90.1512,-5.11,7.43
2,"(9,7)",54.6333,4.81,2.61
2,"(9,9)",89.2771,4.86,7.49
2,"(4,0)",75.3878,-0.12,-7.54
2,"(4,2)",23.0511,-0.14,-2.3
2,"(4,9)",71.2008,-0.38,7.11
2,"(0,0)",89.1531,-4.88,-7.47
2,"(0,2)",52.8648,-4.65,-2.53
2,"(0,6)",352.4574,-35.2,1.77
2,"(0,3)",554.0272,-55.37,-1.93
3,"(9,8)",506.4931,50.56,3.04
3,"(9,8)",353.38,35.18,3.39
3,"(9,0)",87.7995,5.12,-7.14
3,"(8,9)",92.4464,3.62,8.51
3,"(4,0)",74.6154,-0.02,-7.46
3,"(5,7)",28.688,0.2,2.87
3,"(5,9)",74.3114,0.25,7.43
3,"(0,9)",89.9677,-5.08,7.43
3,"(0,8)",142.8515,-13.95,3.08
4,"(9,1)",205.16,20.3,-3.0
4,"(9,2)",51.4607,4.71,-2.08
4,"(9,7)",54.3327,5.0,2.15
4,"(3,0)",225.9546,-1.29,-22.56
4,"(5,0)",74.18,0.15,-7.42
4,"(5,1)",35.7644,0.67,-3.52
4,"(5,7)",23.278,0.29,2.31
4,"(5,9)",74.1198,0.13,7.42
4,"(0,8)",59.5046,-4.93,3.34
4,"(0,3)",318.9971,-31.86,-1.66
5,"(9,1)",168.7654,16.57,-3.21
5,"(3,8)",36.5337,-1.76,3.2
5,"(0,0)",88.1464,-5.34,-7.02
5,"(0,2)",46.5544,-4.1,-2.22
5,"(0,9)",86.9234,-4.76,7.28
5,"(0,1)",304.2377,-30.26,-3.2
6,"(9,3)",200.3614,19.95,-1.94
6,"(9,9)",86.5443,5.15,6.96
6,"(4,0)",72.037,-0.72,-7.18
6,"(5,2)",23.887,0.5,-2.34
6,"(4,9)",41.559,-0.67,4.11
6,"(0,6)",254.9642,-25.44,1.82
7,"(9,3)",153.4767,15.24,-1.85
7,"(5,2)",23.5148,0.13,-2.35
7,"(5,6)",19.6962,0.38,1.93
7,"(0,3)",148.6416,-14.74,-1.95
8,"(9,2)",50.1708,4.49,-2.26
8,"(9,7)",53.1107,4.69,2.51
8,"(0,7)",51.9441,-4.59,2.45
8,"(0,6)",202.6326,-20.17,1.99
9,"(8,9)",80.6265,3.82,7.11
9,"(6,0)",78.133,1.15,-7.73
9,"(3,9)",81.4387,-1.03,8.08
9,"(0,1)",62.4583,-5.22,-3.44
9,"(0,4)",289.7892,-28.98,-0.38
