Generation,Filled_Cells,Coverage_%,Best_Fitness
1,2,2.0,18.8078
2,3,3.0,14.3962
3,5,5.0,13.8443
4,6,6.0,13.4669
5,7,7.0,8.1037
6,8,8.0,8.1037
7,8,8.0,8.1037
8,8,8.0,8.1037
9,8,8.0,8.1037
10,8,8.0,5.9301
11,10,10.0,5.9301
12,11,11.0,5.9301
13,11,11.0,5.9301
14,11,11.0,5.9301
15,11,11.0,5.9301
16,11,11.0,5.9301
17,11,11.0,5.9301
18,12,12.0,5.9301
19,12,12.0,5.9301
20,12,12.0,5.9301
21,13,13.0,5.9301
22,13,13.0,5.9301
23,13,13.0,5.9301
24,13,13.0,5.9301
25,14,14.0,5.9301
26,14,14.0,5.9301
27,14,14.0,5.9301
28,14,14.0,5.9301
29,14,14.0,5.9301
30,14,14.0,5.9301
31,14,14.0,5.9301
32,14,14.0,5.9301
33,15,15.0,5.9301
34,15,15.0,5.9301
35,15,15.0,5.9301
36,16,16.0,5.9301
37,16,16.0,5.9301
38,16,16.0,5.9301
39,16,16.0,3.5166
40,16,16.0,3.5166
41,16,16.0,3.5166
42,16,16.0,3.5166
43,16,16.0,3.5166
44,16,16.0,3.5166
45,16,16.0,3.5166
46,16,16.0,3.5166
47,16,16.0,3.5166
48,16,16.0,3.5166
49,16,16.0,1.2055
50,16,16.0,1.2055
51,16,16.0,1.2055
52,16,16.0,1.2055
53,16,16.0,1.2055
54,16,16.0,1.2055
55,16,16.0,1.2055
56,16,16.0,1.2055
57,16,16.0,1.2055
58,16,16.0,1.2055
59,17,17.0,1.2055
60,17,17.0,1.2055
61,17,17.0,1.2055
62,17,17.0,1.2055
63,17,17.0,1.2055
64,17,17.0,1.2055
65,17,17.0,1.2055
66,17,17.0,1.2055
67,17,17.0,1.2055
68,17,17.0,1.2055
69,17,17.0,1.2055
70,17,17.0,1.2055
71,17,17.0,1.2055
72,17,17.0,1.2055
73,17,17.0,1.2055
74,17,17.0,1.2055
75,17,17.0,1.2055
76,17,17.0,1.2055
77,17,17.0,1.2055
78,17,17.0,1.2055
79,17,17.0,1.2055
80,17,17.0,1.2055
81,17,17.0,1.2055
82,17,17.0,1.2055
83,17,17.0,1.2055
84,17,17.0,1.2055
85,17,17.0,1.2055
