Generation,Filled_Cells,Coverage_%,Best_Fitness
1,4,4.0,0.1653
2,4,4.0,0.1395
3,4,4.0,0.1206
4,4,4.0,0.078
5,4,4.0,0.078
6,4,4.0,0.078
7,4,4.0,0.078
8,4,4.0,0.078
9,4,4.0,0.078
10,4,4.0,0.078
11,4,4.0,0.0773
12,4,4.0,0.0773
13,4,4.0,0.0773
14,4,4.0,0.0773
15,4,4.0,0.0773
16,4,4.0,0.0773
17,4,4.0,0.0761
18,4,4.0,0.0761
19,4,4.0,0.0705
20,4,4.0,0.0705
21,4,4.0,0.0705
22,4,4.0,0.0705
23,4,4.0,0.0705
24,4,4.0,0.0705
25,4,4.0,0.0705
26,4,4.0,0.0705
27,4,4.0,0.0705
28,4,4.0,0.0705
29,4,4.0,0.0705
30,4,4.0,0.0705
31,4,4.0,0.0705
32,4,4.0,0.0705
33,4,4.0,0.0705
34,4,4.0,0.0705
35,4,4.0,0.0705
36,4,4.0,0.0705
37,4,4.0,0.0705
38,4,4.0,0.0705
39,4,4.0,0.0705
40,4,4.0,0.0705
41,4,4.0,0.0705
42,4,4.0,0.0705
43,4,4.0,0.0705
44,4,4.0,0.0705
45,4,4.0,0.0705
46,4,4.0,0.0705
47,4,4.0,0.0705
48,4,4.0,0.0705
49,4,4.0,0.0705
50,4,4.0,0.0705
51,4,4.0,0.0705
52,4,4.0,0.0705
53,4,4.0,0.0705
54,4,4.0,0.0705
55,4,4.0,0.0705
56,4,4.0,0.0664
57,4,4.0,0.0664
58,4,4.0,0.0664
59,4,4.0,0.0664
60,4,4.0,0.0664
61,4,4.0,0.0664
62,4,4.0,0.0664
63,4,4.0,0.0664
64,4,4.0,0.0664
65,4,4.0,0.0664
66,4,4.0,0.0664
67,4,4.0,0.0664
68,4,4.0,0.0664
69,4,4.0,0.0664
70,4,4.0,0.0664
71,4,4.0,0.0664
72,4,4.0,0.0664
73,4,4.0,0.0664
74,4,4.0,0.0664
75,4,4.0,0.0664
76,4,4.0,0.0664
77,4,4.0,0.0664
78,4,4.0,0.0664
79,4,4.0,0.0664
80,4,4.0,0.0664
81,4,4.0,0.0664
82,4,4.0,0.0664
83,4,4.0,0.0664
84,4,4.0,0.0664
85,4,4.0,0.0664
86,4,4.0,0.0664
87,4,4.0,0.0664
88,4,4.0,0.0664
89,4,4.0,0.0664
90,4,4.0,0.0664
91,4,4.0,0.0664
92,4,4.0,0.0664
93,4,4.0,0.0664
94,4,4.0,0.0664
95,4,4.0,0.0664
96,4,4.0,0.0664
97,4,4.0,0.0664
98,4,4.0,0.0664
99,4,4.0,0.0664
100,4,4.0,0.0664
1,4,4.0,0.0664
2,4,4.0,0.0664
3,4,4.0,0.0664
4,4,4.0,0.0664
5,4,4.0,0.0664
6,4,4.0,0.0664
7,4,4.0,0.0664
8,4,4.0,0.0664
9,4,4.0,0.0664
10,4,4.0,0.0664
11,4,4.0,0.0664
12,4,4.0,0.0664
13,4,4.0,0.0664
14,4,4.0,0.0664
15,4,4.0,0.0664
16,4,4.0,0.0664
17,4,4.0,0.0664
18,4,4.0,0.0664
19,4,4.0,0.0664
20,4,4.0,0.0664
21,4,4.0,0.0664
22,4,4.0,0.0664
23,4,4.0,0.0664
24,4,4.0,0.0664
25,4,4.0,0.0664
26,4,4.0,0.0664
27,4,4.0,0.0664
28,4,4.0,0.0664
29,4,4.0,0.0664
30,4,4.0,0.0664
31,4,4.0,0.061
32,4,4.0,0.061
33,4,4.0,0.061
34,4,4.0,0.061
35,4,4.0,0.061
36,4,4.0,0.061
37,4,4.0,0.061
38,4,4.0,0.061
39,4,4.0,0.061
40,4,4.0,0.061
41,4,4.0,0.061
42,4,4.0,0.061
43,4,4.0,0.061
44,4,4.0,0.061
45,4,4.0,0.061
46,4,4.0,0.061
47,4,4.0,0.061
48,4,4.0,0.061
49,4,4.0,0.061
50,4,4.0,0.061
51,4,4.0,0.061
52,4,4.0,0.061
