Generation,Filled_Cells,Coverage_%,Best_Fitness
53,4,4.0,0.061
54,4,4.0,0.061
55,4,4.0,0.061
56,4,4.0,0.061
57,4,4.0,0.061
58,4,4.0,0.061
59,4,4.0,0.061
60,4,4.0,0.061
61,4,4.0,0.061
62,4,4.0,0.061
63,4,4.0,0.061
64,4,4.0,0.061
65,4,4.0,0.061
66,4,4.0,0.061
67,4,4.0,0.061
68,4,4.0,0.061
69,4,4.0,0.061
70,4,4.0,0.061
71,4,4.0,0.061
72,4,4.0,0.061
73,4,4.0,0.061
74,4,4.0,0.061
75,4,4.0,0.061
76,4,4.0,0.061
77,4,4.0,0.061
78,4,4.0,0.061
79,4,4.0,0.061
80,4,4.0,0.061
81,4,4.0,0.061
82,4,4.0,0.061
83,4,4.0,0.061
84,4,4.0,0.061
85,4,4.0,0.061
86,4,4.0,0.061
87,4,4.0,0.061
88,4,4.0,0.061
89,4,4.0,0.061
90,4,4.0,0.061
91,4,4.0,0.061
92,4,4.0,0.061
93,4,4.0,0.061
94,4,4.0,0.061
95,4,4.0,0.061
96,4,4.0,0.061
97,4,4.0,0.061
98,4,4.0,0.061
99,4,4.0,0.061
100,4,4.0,0.061
1,4,4.0,0.061
2,4,4.0,0.061
3,4,4.0,0.061
4,4,4.0,0.061
5,4,4.0,0.061
6,4,4.0,0.061
7,4,4.0,0.061
8,4,4.0,0.061
9,4,4.0,0.061
10,4,4.0,0.061
11,4,4.0,0.061
12,4,4.0,0.061
13,4,4.0,0.061
14,4,4.0,0.061
15,4,4.0,0.061
16,4,4.0,0.061
1,4,4.0,0.061
2,4,4.0,0.061
3,4,4.0,0.061
4,4,4.0,0.061
5,4,4.0,0.061
6,4,4.0,0.061
7,4,4.0,0.061
8,4,4.0,0.061
9,4,4.0,0.061
10,4,4.0,0.061
11,4,4.0,0.061
12,4,4.0,0.061
13,4,4.0,0.061
14,4,4.0,0.061
15,4,4.0,0.061
16,4,4.0,0.061
17,4,4.0,0.061
18,4,4.0,0.061
19,4,4.0,0.061
20,4,4.0,0.061
21,4,4.0,0.061
22,4,4.0,0.061
23,4,4.0,0.061
24,4,4.0,0.061
25,4,4.0,0.061
26,4,4.0,0.061
27,4,4.0,0.061
28,4,4.0,0.061
29,4,4.0,0.061
30,4,4.0,0.061
31,4,4.0,0.061
32,4,4.0,0.061
33,4,4.0,0.061
34,4,4.0,0.061
35,4,4.0,0.061
36,4,4.0,0.0592
37,4,4.0,0.0592
38,4,4.0,0.0592
39,4,4.0,0.0592
40,4,4.0,0.0592
41,4,4.0,0.0592
42,4,4.0,0.0592
43,4,4.0,0.0592
44,4,4.0,0.0592
45,4,4.0,0.0592
46,4,4.0,0.0592
47,4,4.0,0.0592
48,4,4.0,0.0592
49,4,4.0,0.0592
50,4,4.0,0.0592
51,4,4.0,0.0592
52,4,4.0,0.0592
53,4,4.0,0.0592
54,4,4.0,0.0592
55,4,4.0,0.0592
56,4,4.0,0.0592
57,4,4.0,0.0592
58,4,4.0,0.0592
59,4,4.0,0.0592
60,4,4.0,0.0592
61,4,4.0,0.0592
62,4,4.0,0.0592
63,4,4.0,0.0592
64,4,4.0,0.0592
65,4,4.0,0.0592
66,4,4.0,0.0592
67,4,4.0,0.0592
68,4,4.0,0.0592
69,4,4.0,0.0592
70,4,4.0,0.0592
71,4,4.0,0.0592
72,4,4.0,0.0592
73,4,4.0,0.0592
74,4,4.0,0.0592
75,4,4.0,0.0592
76,4,4.0,0.0592
77,4,4.0,0.0592
78,4,4.0,0.0592
79,4,4.0,0.0592
80,4,4.0,0.0592
81,4,4.0,0.0592
82,4,4.0,0.0592
83,4,4.0,0.0592
84,4,4.0,0.0592
85,4,4.0,0.0592
86,4,4.0,0.0592
87,4,4.0,0.0592
88,4,4.0,0.0592
89,4,4.0,0.0592
90,4,4.0,0.0592
91,4,4.0,0.0592
92,4,4.0,0.0592
93,4,4.0,0.0592
94,4,4.0,0.0592
95,4,4.0,0.0592
96,4,4.0,0.0592
97,4,4.0,0.0592
98,4,4.0,0.0592
99,4,4.0,0.0592
100,4,4.0,0.0592
1,3,3.0,0.1478
2,4,4.0,0.1384
3,4,4.0,0.1384
4,4,4.0,0.1384
5,4,4.0,0.1239
6,4,4.0,0.1239
7,4,4.0,0.1239
8,4,4.0,0.1173
9,4,4.0,0.1145
10,4,4.0,0.1055
11,4,4.0,0.1055
12,4,4.0,0.1055
13,4,4.0,0.1055
14,4,4.0,0.0998
15,4,4.0,0.0998
16,4,4.0,0.0998
17,4,4.0,0.0945
18,4,4.0,0.0945
19,4,4.0,0.0945
20,4,4.0,0.0945
21,4,4.0,0.0945
22,4,4.0,0.0945
23,4,4.0,0.0945
24,4,4.0,0.0945
25,4,4.0,0.0945
26,4,4.0,0.0945
27,4,4.0,0.0945
28,4,4.0,0.0945
29,4,4.0,0.0945
30,4,4.0,0.0945
31,4,4.0,0.0945
32,4,4.0,0.0945
33,4,4.0,0.0945
34,4,4.0,0.0914
35,4,4.0,0.0914
36,4,4.0,0.0914
37,4,4.0,0.0893
38,4,4.0,0.0893
39,4,4.0,0.0893
40,4,4.0,0.0893
41,4,4.0,0.0893
42,4,4.0,0.0893
43,4,4.0,0.0893
44,4,4.0,0.0893
45,4,4.0,0.0893
46,4,4.0,0.0893
47,4,4.0,0.0893
48,4,4.0,0.0893
49,4,4.0,0.0893
50,4,4.0,0.0884
51,4,4.0,0.0884
52,4,4.0,0.0884
53,4,4.0,0.0884
54,4,4.0,0.0884
55,4,4.0,0.0884
56,4,4.0,0.0884
57,4,4.0,0.0884
58,4,4.0,0.0811
59,4,4.0,0.0811
60,4,4.0,0.0811
61,4,4.0,0.0811
62,4,4.0,0.0811
63,4,4.0,0.0811
64,4,4.0,0.0811
65,4,4.0,0.0811
66,4,4.0,0.0811
67,4,4.0,0.0811
68,4,4.0,0.0769
69,4,4.0,0.0769
70,4,4.0,0.0769
71,4,4.0,0.0769
72,4,4.0,0.0769
73,4,4.0,0.0769
74,4,4.0,0.0769
75,4,4.0,0.0769
76,4,4.0,0.0769
77,4,4.0,0.0769
78,4,4.0,0.0769
79,4,4.0,0.0769
80,4,4.0,0.0769
81,4,4.0,0.0769
82,4,4.0,0.0769
83,4,4.0,0.0769
84,4,4.0,0.0769
85,4,4.0,0.0769
86,4,4.0,0.0769
87,4,4.0,0.0769
88,4,4.0,0.0769
89,4,4.0,0.0769
90,4,4.0,0.0769
91,4,4.0,0.0769
92,4,4.0,0.0769
93,4,4.0,0.0769
94,4,4.0,0.0769
95,4,4.0,0.0769
96,4,4.0,0.0769
97,4,4.0,0.0769
98,4,4.0,0.0769
99,4,4.0,0.0769
100,4,4.0,0.0769
