Generation,Cell,Fitness,X,Y
1,"(9,0)",-4.9487,39.7,-34.7
1,"(9,5)",-3.7861,39.63,0.2
1,"(9,9)",-3.9083,40.1,5.18
1,"(9,9)",-4.0123,39.92,15.08
1,"(9,9)",-4.2365,39.82,20.13
1,"(9,9)",-4.4412,39.86,24.95
1,"(9,9)",-4.7322,40.07,29.98
1,"(9,9)",-5.0437,39.72,35.03
1,"(9,4)",-2.7455,30.2,-0.06
1,"(4,0)",-3.2104,-0.21,-35.01
1,"(5,0)",-1.2955,0.32,-14.93
1,"(4,4)",0.1302,-0.35,-0.49
1,"(5,9)",-0.2354,0.38,4.78
1,"(4,9)",-0.8792,-0.08,10.25
1,"(5,9)",-1.1175,0.17,14.58
1,"(5,9)",-1.6625,0.19,19.79
1,"(5,9)",-2.1643,0.2,24.93
1,"(4,9)",-2.754,-0.41,29.71
1,"(5,9)",-3.2469,0.13,35.02
1,"(0,0)",-3.3185,-5.08,-35.34
1,"(0,4)",-0.2806,-5.15,-0.08
1,"(0,9)",-0.5533,-5.17,5.01
1,"(0,9)",-0.9408,-4.7,10.03
1,"(0,9)",-1.1641,-4.8,15.16
1,"(0,9)",-1.8045,-4.66,19.98
1,"(0,9)",-2.1944,-5.07,24.76
1,"(0,9)",-2.8462,-5.11,30.03
1,"(0,9)",-3.2587,-4.87,35.05
1,"(0,0)",-3.4359,-9.96,-34.88
1,"(0,5)",-0.8451,-10.53,0.27
1,"(0,9)",-3.291,-10.64,34.85
1,"(0,0)",-3.637,-14.92,-35.27
1,"(0,5)",-1.248,-14.81,0.06
1,"(0,9)",-3.5758,-15.21,35.12
1,"(0,0)",-3.839,-20.23,-34.84
1,"(0,5)",-1.6347,-20.11,0.2
1,"(0,9)",-3.6899,-20.0,35.1
1,"(0,0)",-4.0277,-25.09,-35.0
1,"(0,5)",-2.3689,-25.1,0.15
1,"(0,9)",-3.7023,-25.16,29.91
1,"(0,9)",-4.0807,-24.91,35.05
1,"(0,0)",-4.2617,-30.01,-34.76
1,"(0,5)",-2.8956,-29.87,0.06
1,"(0,9)",-4.3223,-29.71,35.13
1,"(0,0)",-4.6728,-34.98,-34.92
1,"(0,5)",-3.3701,-35.2,0.19
1,"(0,9)",-4.3563,-34.68,29.94
1,"(0,9)",-4.7855,-35.23,35.15
1,"(0,0)",-5.0513,-40.25,-34.65
1,"(0,5)",-3.7822,-39.99,0.12
2,"(9,0)",-5.02,39.58,-35.48
2,"(5,0)",-3.0115,0.08,-34.9
2,"(4,6)",0.2224,-0.03,1.38
2,"(0,4)",-0.7472,-9.94,-0.08
2,"(0,4)",-3.6326,-39.99,-0.02
3,"(9,9)",-5.085,40.44,35.2
3,"(9,6)",-3.0316,34.75,1.29
3,"(8,0)",-0.7397,3.43,-10.65
3,"(5,0)",-3.0304,0.05,-34.72
3,"(4,9)",-3.1042,-0.19,35.38
4,"(9,4)",-3.768,40.28,-0.02
4,"(5,0)",-3.1393,0.05,-35.13
4,"(5,5)",0.2466,0.23,0.27
4,"(1,1)",0.0435,-3.27,-3.25
4,"(1,9)",-1.5675,-3.29,19.88
5,"(4,5)",0.2054,-0.32,0.55
6,"(9,8)",-0.7473,12.32,3.55
7,"(9,3)",-2.9583,34.66,-1.53
7,"(4,9)",-3.2325,-0.04,35.23
8,"(2,9)",-1.5766,-2.3,19.4
8,"(1,9)",-3.1026,-3.79,35.54
8,"(0,8)",-0.637,-10.19,3.85
9,"(8,0)",-3.2967,3.33,-36.94
9,"(5,4)",0.5799,0.59,-0.29
9,"(6,9)",-0.4417,1.95,10.33
9,"(0,6)",-1.5033,-19.41,1.51
