Generation,Cell,Fitness,X,Y
1,"(9,0)",1557.1864,112.57,-107.6
1,"(9,0)",1525.6489,113.02,-102.49
1,"(9,0)",1489.0987,112.44,-97.63
1,"(9,0)",1454.2047,112.23,-92.48
1,"(9,0)",1425.2389,112.42,-87.6
1,"(9,0)",1394.5862,112.45,-82.49
1,"(9,0)",1367.0733,112.53,-77.62
1,"(9,0)",1339.669,112.63,-72.55
1,"(9,0)",1312.5828,112.52,-67.59
1,"(9,0)",1288.6832,112.8,-62.33
1,"(9,0)",1264.2746,112.43,-57.84
1,"(9,0)",1239.097,112.22,-52.55
1,"(9,0)",1218.5009,112.37,-47.12
1,"(9,0)",1203.6818,112.5,-42.82
1,"(9,0)",1185.9462,112.51,-37.5
1,"(9,0)",1173.3438,112.68,-32.73
1,"(9,0)",1156.5098,112.34,-27.47
1,"(9,0)",1146.6518,112.47,-22.36
1,"(9,0)",1143.7853,113.01,-17.63
1,"(9,0)",1130.3485,112.37,-12.28
1,"(9,0)",1127.0475,112.46,-7.45
1,"(9,2)",1124.8326,112.46,-2.39
1,"(9,7)",1135.0269,113.47,2.95
1,"(9,9)",1127.1177,112.46,7.54
1,"(9,0)",1121.3083,107.36,-32.38
1,"(9,0)",1106.7972,107.14,-27.77
1,"(9,0)",1096.9011,107.37,-22.48
1,"(9,0)",1088.5068,107.42,-17.61
1,"(9,0)",1086.4986,107.89,-12.8
1,"(9,0)",1077.6502,107.51,-7.41
1,"(9,2)",1075.1302,107.49,-2.49
1,"(9,7)",1076.1705,107.59,2.38
1,"(9,9)",1077.6393,107.5,7.61
1,"(9,0)",1074.4237,102.47,-32.32
1,"(9,0)",1061.1191,102.5,-27.45
1,"(9,0)",1047.795,102.32,-22.56
1,"(9,0)",1039.3498,102.52,-17.11
1,"(9,0)",1034.1597,102.66,-12.47
1,"(9,0)",1028.0139,102.53,-7.53
1,"(9,2)",1025.9798,102.57,-2.68
1,"(9,7)",1027.0557,102.68,2.62
1,"(9,9)",1021.4056,101.86,7.54
1,"(9,0)",1009.6798,97.2,-27.33
1,"(9,0)",1001.5073,97.62,-22.39
1,"(9,0)",989.0411,97.32,-17.63
1,"(9,0)",985.2535,97.72,-12.62
1,"(9,0)",978.521,97.58,-7.32
1,"(9,2)",975.8297,97.55,-2.47
1,"(9,7)",973.9712,97.36,2.72
1,"(9,9)",970.6682,96.78,7.49
1,"(9,0)",962.2976,92.24,-27.45
1,"(9,0)",949.864,92.31,-22.41
1,"(9,0)",941.7581,92.53,-17.52
1,"(9,0)",934.5515,92.64,-12.37
1,"(9,0)",928.1009,92.51,-7.46
1,"(9,2)",924.353,92.4,-2.51
1,"(9,7)",924.9898,92.47,2.58
1,"(9,9)",925.5945,92.26,7.46
1,"(9,0)",918.4199,87.63,-27.52
1,"(9,0)",903.9495,87.62,-22.22
1,"(9,0)",892.8509,87.54,-17.6
1,"(9,0)",884.7348,87.61,-12.35
1,"(9,0)",881.2463,87.79,-7.65
1,"(9,2)",876.5453,87.62,-2.59
1,"(9,7)",876.9558,87.66,2.66
1,"(9,9)",878.0722,87.51,7.19
1,"(9,0)",869.1324,82.46,-27.47
1,"(9,0)",860.0088,82.91,-22.84
1,"(9,0)",844.4598,82.62,-17.46
1,"(9,0)",834.3943,82.5,-12.5
1,"(9,0)",831.3378,82.81,-7.32
1,"(9,2)",826.7128,82.64,-2.37
1,"(9,7)",825.2711,82.49,2.51
1,"(9,9)",826.7413,82.34,7.44
1,"(9,0)",823.9562,77.58,-27.75
1,"(9,0)",806.6077,77.5,-22.38
1,"(9,0)",796.9953,77.78,-17.42
