Generation,Cell,Fitness,X,Y
1,"(9,0)",-7.4523,55.08,-52.54
1,"(9,2)",-5.3564,55.27,-2.75
1,"(9,7)",-5.2872,54.78,2.25
1,"(9,9)",-5.3198,55.09,8.15
1,"(9,9)",-5.3506,55.08,12.38
1,"(9,9)",-5.5131,55.0,17.49
1,"(9,9)",-5.7923,55.14,22.57
1,"(9,9)",-5.9332,54.97,27.56
1,"(9,9)",-6.186,55.0,32.49
1,"(9,9)",-6.3597,54.73,37.49
1,"(9,9)",-6.7815,55.06,42.53
1,"(9,9)",-7.059,55.31,47.7
1,"(9,9)",-7.3183,54.68,52.32
1,"(9,8)",-4.8881,50.76,3.17
1,"(4,0)",-4.9846,-0.21,-52.54
1,"(5,0)",-3.4796,0.2,-37.26
1,"(4,2)",-0.0159,-0.13,-2.27
1,"(4,7)",0.0328,-0.07,2.65
1,"(5,9)",-0.5261,0.04,7.5
1,"(5,9)",-1.0795,0.16,12.63
1,"(4,9)",-1.5029,-0.12,17.7
1,"(4,9)",-2.0563,-0.12,22.43
1,"(4,9)",-2.4747,-0.07,27.46
1,"(5,9)",-3.0987,0.02,32.59
1,"(5,9)",-3.5357,0.21,37.68
1,"(4,9)",-4.0781,-0.13,42.74
1,"(5,9)",-4.5318,0.19,47.12
1,"(4,9)",-5.0354,-0.02,52.53
1,"(0,0)",-5.036,-4.94,-52.58
1,"(0,2)",-0.1386,-4.91,-2.75
1,"(0,7)",-0.3065,-5.11,2.5
1,"(0,9)",-0.6968,-4.98,7.51
1,"(0,9)",-0.9476,-4.88,12.19
1,"(0,9)",-1.5203,-5.01,17.65
1,"(0,9)",-1.9741,-4.99,22.5
1,"(0,9)",-2.4418,-4.91,27.73
1,"(0,9)",-2.9654,-5.14,32.28
1,"(0,9)",-3.5065,-4.85,37.39
1,"(0,9)",-3.9106,-5.31,42.46
1,"(0,9)",-4.5935,-5.09,47.61
1,"(0,9)",-5.0515,-4.95,52.38
1,"(0,0)",-5.0546,-9.92,-52.44
1,"(0,2)",-0.7925,-9.78,-2.7
1,"(0,7)",-0.8463,-9.93,2.72
1,"(0,9)",-5.097,-9.97,52.61
1,"(0,0)",-5.2096,-14.98,-52.62
1,"(0,2)",-1.2524,-14.87,-2.32
1,"(0,7)",-1.249,-15.09,2.29
1,"(0,9)",-5.2217,-15.0,52.3
1,"(0,0)",-5.4339,-19.87,-52.56
1,"(0,2)",-1.7923,-20.11,-2.47
1,"(0,7)",-1.7397,-19.75,2.83
1,"(0,9)",-5.4274,-19.93,52.67
1,"(0,0)",-5.537,-25.1,-52.57
1,"(0,2)",-2.1101,-24.95,-2.61
1,"(0,7)",-2.2582,-25.07,2.66
1,"(0,9)",-5.6245,-25.01,52.48
1,"(0,0)",-5.8541,-30.04,-52.21
1,"(0,2)",-2.7516,-29.6,-2.56
1,"(0,7)",-2.8572,-29.72,2.5
1,"(0,9)",-5.831,-30.79,52.13
1,"(0,0)",-6.0877,-35.01,-52.47
1,"(0,2)",-3.3163,-35.24,-2.53
1,"(0,7)",-3.2859,-35.09,2.66
1,"(0,9)",-6.0876,-34.92,52.51
1,"(0,0)",-6.3921,-39.93,-52.72
1,"(0,2)",-3.6592,-40.06,-2.22
1,"(0,7)",-3.8145,-40.22,2.43
1,"(0,9)",-6.3132,-39.99,52.23
1,"(0,0)",-6.805,-45.24,-52.31
1,"(0,2)",-4.2002,-44.98,-2.45
1,"(0,7)",-4.2884,-45.19,2.41
1,"(0,9)",-6.347,-44.86,47.48
1,"(0,9)",-6.7671,-45.56,52.92
1,"(0,0)",-6.9876,-50.24,-52.23
1,"(0,2)",-4.65,-49.86,-2.3
1,"(0,7)",-4.8208,-49.95,2.32
1,"(0,9)",-7.0814,-50.1,53.03
1,"(0,0)",-7.2275,-55.22,-52.36
1,"(0,2)",-5.372,-55.09,-2.48
1,"(0,7)",-5.2031,-55.06,2.45
