Generation,Cell,Fitness,X,Y
1,"(9,0)",52.9919,39.94,-34.9
1,"(9,0)",49.7561,39.69,-30.08
1,"(9,0)",47.1799,40.12,-24.92
1,"(9,0)",44.7562,39.87,-20.4
1,"(9,0)",42.9811,40.25,-15.16
1,"(9,0)",41.1758,39.99,-9.99
1,"(9,0)",40.1551,39.92,-4.82
1,"(9,5)",40.6684,40.72,0.05
1,"(9,9)",40.449,40.18,5.13
1,"(9,0)",38.5025,35.56,-14.87
1,"(9,0)",36.1736,34.85,-9.9
1,"(9,0)",35.3035,35.0,-4.96
1,"(9,5)",35.0046,35.05,0.03
1,"(9,9)",35.2163,34.92,4.89
1,"(9,0)",32.4755,28.85,-15.01
1,"(9,0)",31.2101,29.6,-9.99
1,"(9,0)",30.5785,30.24,-4.87
1,"(9,4)",30.2506,30.31,-0.2
1,"(9,9)",30.3594,30.01,4.86
1,"(9,0)",29.1001,24.91,-15.12
1,"(9,0)",26.8918,25.04,-9.96
1,"(9,0)",25.4877,25.05,-4.93
1,"(9,4)",24.7817,24.82,-0.03
1,"(9,9)",25.7974,25.33,5.06
1,"(9,0)",25.065,19.96,-15.21
1,"(9,0)",22.1378,20.12,-9.37
1,"(9,0)",20.661,20.06,-5.09
1,"(9,4)",19.9249,19.97,-0.47
1,"(9,9)",20.7351,20.16,5.04
1,"(9,0)",18.0165,14.91,-10.23
1,"(9,0)",16.8802,15.95,-5.69
1,"(9,5)",15.0477,15.08,0.27
1,"(9,9)",15.7671,15.0,5.02
1,"(9,0)",14.1761,10.27,-9.87
1,"(9,0)",11.1278,9.95,-5.06
1,"(9,5)",9.8406,9.88,0.14
1,"(9,9)",11.1973,10.13,4.88
1,"(9,0)",7.0191,4.99,-4.99
1,"(9,5)",4.7522,4.8,0.03
1,"(9,9)",7.154,5.06,5.12
1,"(4,0)",34.9262,-0.01,-34.97
1,"(4,0)",29.8717,-0.31,-29.91
1,"(5,0)",25.2118,0.26,-25.28
1,"(4,0)",19.9506,-0.09,-19.98
1,"(4,0)",17.1619,-0.32,-17.21
1,"(4,0)",9.8314,-0.18,-9.88
1,"(4,0)",5.1595,-0.09,-5.23
1,"(5,3)",1.5685,0.06,-1.61
1,"(4,9)",4.7009,-0.17,4.75
1,"(5,9)",10.7109,0.24,10.76
1,"(0,0)",34.7224,-5.36,-34.36
1,"(0,0)",30.5041,-4.8,-30.17
1,"(1,0)",25.1937,-3.76,-24.96
1,"(0,0)",20.4783,-4.91,-19.92
1,"(2,0)",13.8687,-2.79,-13.63
1,"(0,0)",11.2516,-4.73,-10.25
1,"(0,0)",6.8087,-4.85,-4.86
1,"(0,5)",4.8682,-4.91,0.09
1,"(0,9)",6.9403,-5.07,4.8
1,"(0,4)",9.9024,-9.95,-0.12
1,"(0,8)",11.5139,-10.88,3.89
2,"(9,4)",5.0189,5.08,-0.21
2,"(9,9)",6.9006,4.86,4.94
2,"(5,0)",20.2053,0.35,-20.24
2,"(5,0)",14.9246,0.3,-14.98
2,"(5,0)",9.8409,0.12,-9.87
2,"(4,0)",4.8742,-0.11,-4.94
2,"(4,5)",0.2008,-0.22,0.13
2,"(5,9)",4.8355,0.09,4.87
2,"(1,0)",15.8627,-3.89,-15.43
2,"(0,0)",6.5656,-4.07,-5.22
3,"(8,0)",29.2228,3.64,-29.03
3,"(8,9)",24.9756,3.52,24.77
3,"(4,4)",0.0987,-0.14,-0.01
3,"(5,9)",4.106,0.8,4.1
3,"(3,9)",35.5715,-1.03,35.61
3,"(0,0)",6.2344,-4.34,-4.54
3,"(0,4)",4.8793,-4.92,-0.2
3,"(0,6)",13.7297,-13.75,1.01
4,"(5,0)",4.7173,0.4,-4.77
4,"(4,3)",1.565,-0.37,-1.56
4,"(4,9)",4.4121,-0.42,4.43
4,"(0,5)",4.7547,-4.8,0.17
4,"(0,9)",6.919,-5.03,4.8
4,"(2,9)",25.6368,-3.0,25.51
4,"(0,1)",19.8837,-19.53,-3.97
5,"(9,6)",34.8389,34.86,1.14
5,"(9,4)",4.8587,4.87,-0.49
5,"(8,9)",15.7104,3.72,15.31
5,"(6,0)",14.6783,1.32,-14.67
5,"(6,3)",1.8433,1.05,-1.58
5,"(0,4)",4.2875,-4.33,-0.14
6,"(9,0)",6.8337,4.88,-4.86
6,"(3,0)",10.8875,-1.38,-10.86
6,"(5,5)",0.3804,0.42,0.09
6,"(0,9)",6.6603,-4.53,4.93
7,"(8,9)",10.6445,3.98,9.92
7,"(0,3)",20.0819,-20.07,-1.47
8,"(9,3)",40.5165,40.52,-1.56
8,"(9,5)",4.4022,4.43,0.35
8,"(0,5)",4.2936,-4.29,0.67
8,"(1,9)",10.5484,-3.94,9.84
9,"(9,2)",14.1217,13.89,-2.79
9,"(4,0)",4.5595,-0.18,-4.61
9,"(5,5)",0.0935,0.05,0.13
9,"(3,9)",14.4378,-1.51,14.4
